"STATION","NAME","DATE","TMAX","TMIN"
"SWE00138886","STOCKHOLM A, SW","2018-05-21","79","57"
"SWE00138886","STOCKHOLM A, SW","2018-05-22","77","53"
"SWE00138886","STOCKHOLM A, SW","2018-05-23","70","56"
"SWE00138886","STOCKHOLM A, SW","2018-05-24","74","48"
"SWE00138886","STOCKHOLM A, SW","2018-05-25","73","53"
"SWE00138886","STOCKHOLM A, SW","2018-05-26","80","51"
"SWE00138886","STOCKHOLM A, SW","2018-05-27","76","53"
"SWE00138886","STOCKHOLM A, SW","2018-05-28","75","49"
"SWE00138886","STOCKHOLM A, SW","2018-05-29","84","54"
"SWE00138886","STOCKHOLM A, SW","2018-05-30","79","63"
"SWE00138886","STOCKHOLM A, SW","2018-05-31","71","51"
"SWE00138886","STOCKHOLM A, SW","2018-06-01","80","53"
"SWE00138886","STOCKHOLM A, SW","2018-06-02","85","61"
"SWE00138886","STOCKHOLM A, SW","2018-06-03","86","60"
"SWE00138886","STOCKHOLM A, SW","2018-06-04","71","60"
"SWE00138886","STOCKHOLM A, SW","2018-06-05","60","46"
"SWE00138886","STOCKHOLM A, SW","2018-06-06","63","46"
"SWE00138886","STOCKHOLM A, SW","2018-06-07","81","49"
"SWE00138886","STOCKHOLM A, SW","2018-06-08","74","52"
"SWE00138886","STOCKHOLM A, SW","2018-06-09","80","53"
"SWE00138886","STOCKHOLM A, SW","2018-06-10","87","60"
"SWE00138886","STOCKHOLM A, SW","2018-06-11","77","61"
"SWE00138886","STOCKHOLM A, SW","2018-06-12","70","54"
"SWE00138886","STOCKHOLM A, SW","2018-06-13","69","53"
"SWE00138886","STOCKHOLM A, SW","2018-06-14","71","57"
"SWE00138886","STOCKHOLM A, SW","2018-06-15","75","62"
"SWE00138886","STOCKHOLM A, SW","2018-06-16","75","58"
"SWE00138886","STOCKHOLM A, SW","2018-06-17","75","58"
"SWE00138886","STOCKHOLM A, SW","2018-06-18","69","53"
"SWE00138886","STOCKHOLM A, SW","2018-06-19","72","58"
"SWE00138886","STOCKHOLM A, SW","2018-06-20","67","52"
"SWE00138886","STOCKHOLM A, SW","2018-06-21","62","51"
"SWE00138886","STOCKHOLM A, SW","2018-06-22","64","47"
"SWE00138886","STOCKHOLM A, SW","2018-06-23","63","50"
"SWE00138886","STOCKHOLM A, SW","2018-06-24","68","52"
"SWE00138886","STOCKHOLM A, SW","2018-06-25","74","54"
"SWE00138886","STOCKHOLM A, SW","2018-06-26","72","60"
"SWE00138886","STOCKHOLM A, SW","2018-06-27","85","55"
"SWE00138886","STOCKHOLM A, SW","2018-06-28","87","62"
"SWE00138886","STOCKHOLM A, SW","2018-06-29","76","53"
"SWE00138886","STOCKHOLM A, SW","2018-06-30","67","52"
"SWE00138886","STOCKHOLM A, SW","2018-07-01","69","48"
"SWE00138886","STOCKHOLM A, SW","2018-07-02","73","51"
"SWE00138886","STOCKHOLM A, SW","2018-07-03","71","57"
"SWE00138886","STOCKHOLM A, SW","2018-07-04","76","60"
"SWE00138886","STOCKHOLM A, SW","2018-07-05","75","56"
"SWE00138886","STOCKHOLM A, SW","2018-07-06","81","59"
"SWE00138886","STOCKHOLM A, SW","2018-07-07","73","60"
"SWE00138886","STOCKHOLM A, SW","2018-07-08","80","58"
"SWE00138886","STOCKHOLM A, SW","2018-07-09","80","57"
"SWE00138886","STOCKHOLM A, SW","2018-07-10","81","60"
"SWE00138886","STOCKHOLM A, SW","2018-07-11","77","61"
"SWE00138886","STOCKHOLM A, SW","2018-07-12","80","57"
"SWE00138886","STOCKHOLM A, SW","2018-07-13","85","60"
"SWE00138886","STOCKHOLM A, SW","2018-07-14","89","64"
"SWE00138886","STOCKHOLM A, SW","2018-07-15","92","67"
"SWE00138886","STOCKHOLM A, SW","2018-07-16","92","69"
"SWE00138886","STOCKHOLM A, SW","2018-07-17","90","67"
"SWE00138886","STOCKHOLM A, SW","2018-07-18","89","70"
"SWE00138886","STOCKHOLM A, SW","2018-07-19","87","67"
"SWE00138886","STOCKHOLM A, SW","2018-07-20","90","70"
"SWE00138886","STOCKHOLM A, SW","2018-07-21","83","67"
"SWE00138886","STOCKHOLM A, SW","2018-07-22","82","63"
"SWE00138886","STOCKHOLM A, SW","2018-07-23","84","64"
"SWE00138886","STOCKHOLM A, SW","2018-07-24","87","67"
"SWE00138886","STOCKHOLM A, SW","2018-07-25","89","68"
"SWE00138886","STOCKHOLM A, SW","2018-07-26","92","69"
"SWE00138886","STOCKHOLM A, SW","2018-07-27","91","69"
"SWE00138886","STOCKHOLM A, SW","2018-07-28","83","68"
"SWE00138886","STOCKHOLM A, SW","2018-07-29","85","68"
"SWE00138886","STOCKHOLM A, SW","2018-07-30","86","71"
"SWE00138886","STOCKHOLM A, SW","2018-07-31","88","71"
"SWE00138886","STOCKHOLM A, SW","2018-08-01","90","71"
"SWE00138886","STOCKHOLM A, SW","2018-08-02","89","73"
"SWE00138886","STOCKHOLM A, SW","2018-08-03","85","67"
"SWE00138886","STOCKHOLM A, SW","2018-08-04","79","66"
"SWE00138886","STOCKHOLM A, SW","2018-08-05","83","63"
"SWE00138886","STOCKHOLM A, SW","2018-08-06","74","58"
"SWE00138886","STOCKHOLM A, SW","2018-08-07","80","59"
"SWE00138886","STOCKHOLM A, SW","2018-08-08","86","67"
"SWE00138886","STOCKHOLM A, SW","2018-08-09","87","71"
"SWE00138886","STOCKHOLM A, SW","2018-08-10","83","69"
"SWE00138886","STOCKHOLM A, SW","2018-08-11","74","59"
"SWE00138886","STOCKHOLM A, SW","2018-08-12","66","55"
"SWE00138886","STOCKHOLM A, SW","2018-08-13","71","54"
"SWE00138886","STOCKHOLM A, SW","2018-08-14","72","55"
"SWE00138886","STOCKHOLM A, SW","2018-08-15","73","56"
"SWE00138886","STOCKHOLM A, SW","2018-08-16","78","58"
"SWE00138886","STOCKHOLM A, SW","2018-08-17","81","65"
"SWE00138886","STOCKHOLM A, SW","2018-08-18","73","57"
"SWE00138886","STOCKHOLM A, SW","2018-08-19","71","62"
"SWE00138886","STOCKHOLM A, SW","2018-08-20","68","58"
"SWE00138886","STOCKHOLM A, SW","2018-08-21","67","51"
"SWE00138886","STOCKHOLM A, SW","2018-08-22","71","54"
"SWE00138886","STOCKHOLM A, SW","2018-08-23","78","64"
"SWE00138886","STOCKHOLM A, SW","2018-08-24","78","63"
"SWE00138886","STOCKHOLM A, SW","2018-08-25","69","53"
"SWE00138886","STOCKHOLM A, SW","2018-08-26","67","52"
"SWE00138886","STOCKHOLM A, SW","2018-08-27","66","50"
"SWE00138886","STOCKHOLM A, SW","2018-08-28","72","54"
"SWE00138886","STOCKHOLM A, SW","2018-08-29","72","57"
"SWE00138886","STOCKHOLM A, SW","2018-08-30","70","57"
"SWE00138886","STOCKHOLM A, SW","2018-08-31","64","59"
"SWE00138886","STOCKHOLM A, SW","2018-09-01","69","58"
"SWE00138886","STOCKHOLM A, SW","2018-09-02","74","54"
"SWE00138886","STOCKHOLM A, SW","2018-09-03","78","56"
"SWE00138886","STOCKHOLM A, SW","2018-09-04","72","56"
"SWE00138886","STOCKHOLM A, SW","2018-09-05","73","56"
"SWE00138886","STOCKHOLM A, SW","2018-09-06","66","56"
"SWE00138886","STOCKHOLM A, SW","2018-09-07","67","55"
"SWE00138886","STOCKHOLM A, SW","2018-09-08","73","59"
"SWE00138886","STOCKHOLM A, SW","2018-09-09","72","54"
"SWE00138886","STOCKHOLM A, SW","2018-09-10","68","58"
"SWE00138886","STOCKHOLM A, SW","2018-09-11","63","55"
"SWE00138886","STOCKHOLM A, SW","2018-09-12","65","54"
"SWE00138886","STOCKHOLM A, SW","2018-09-13","64","52"
"SWE00138886","STOCKHOLM A, SW","2018-09-14","65","52"
"SWE00138886","STOCKHOLM A, SW","2018-09-15","63","54"
"SWE00138886","STOCKHOLM A, SW","2018-09-16","63","49"
"SWE00138886","STOCKHOLM A, SW","2018-09-17","63","52"
"SWE00138886","STOCKHOLM A, SW","2018-09-18","70","53"
"SWE00138886","STOCKHOLM A, SW","2018-09-19","72","60"
"SWE00138886","STOCKHOLM A, SW","2018-09-20","66","61"
"SWE00138886","STOCKHOLM A, SW","2018-09-21","69","54"
"SWE00138886","STOCKHOLM A, SW","2018-09-22","64","48"
"SWE00138886","STOCKHOLM A, SW","2018-09-23","58","47"
"SWE00138886","STOCKHOLM A, SW","2018-09-24","53","40"
"SWE00138886","STOCKHOLM A, SW","2018-09-25","54","38"
"SWE00138886","STOCKHOLM A, SW","2018-09-26","60","48"
"SWE00138886","STOCKHOLM A, SW","2018-09-27","56","47"
"SWE00138886","STOCKHOLM A, SW","2018-09-28","51","41"
"SWE00138886","STOCKHOLM A, SW","2018-09-29","53","37"
"SWE00138886","STOCKHOLM A, SW","2018-09-30","57","50"
"SWE00138886","STOCKHOLM A, SW","2018-10-01","54","45"
"SWE00138886","STOCKHOLM A, SW","2018-10-02","50","42"
"SWE00138886","STOCKHOLM A, SW","2018-10-03","49","43"
"SWE00138886","STOCKHOLM A, SW","2018-10-04","49","36"
"SWE00138886","STOCKHOLM A, SW","2018-10-05","61","44"
"SWE00138886","STOCKHOLM A, SW","2018-10-06","53","48"
"SWE00138886","STOCKHOLM A, SW","2018-10-07","50","43"
"SWE00138886","STOCKHOLM A, SW","2018-10-08","52","40"
"SWE00138886","STOCKHOLM A, SW","2018-10-09","59","51"
